l1d_size,l1i_size,l2_size,Unrolling_Factor,Total_Memory,Cycles
16,64,128,32,208,42393861
16,64,256,2,336,42759206
16,64,256,4,336,42566021
16,64,256,8,336,42368038
16,64,256,16,336,42364586
16,64,256,32,336,42437646
16,64,512,2,592,42710165
16,64,512,4,592,42517553
16,64,512,8,592,42329552
16,64,512,16,592,42318096
16,64,512,32,592,42365827
16,64,1024,2,1104,42736785
16,64,1024,4,1104,42548646
16,64,1024,8,1104,42365636
16,64,1024,16,1104,42336833
16,64,1024,32,1104,42398495
32,2,128,2,162,42453410
32,2,128,4,162,42250461
32,2,128,8,162,42091899
32,2,128,16,162,46976715
32,2,128,32,162,48672536
32,2,256,2,290,42445117
32,2,256,4,290,42243336
32,2,256,8,290,42072660
32,2,256,16,290,46965397
32,2,256,32,290,48656305
32,2,512,2,546,42434495
32,2,512,4,546,42228285
32,2,512,8,546,42062606
32,2,512,16,546,46966129
32,2,512,32,546,48630872
32,2,1024,2,1058,42448672
32,2,1024,4,1058,42255170
32,2,1024,8,1058,42112978
32,2,1024,16,1058,46984358
32,2,1024,32,1058,48637200
32,4,128,2,164,42397582
32,4,128,4,164,42194809
32,4,128,8,164,42037299
32,4,128,16,164,41969147
32,4,128,32,164,46821085
32,4,256,2,292,42386747
32,4,256,4,292,42182937
32,4,256,8,292,42014469
32,4,256,16,292,41958619
32,4,256,32,292,46811307
32,4,512,2,548,42378295
32,4,512,4,548,42169681
32,4,512,8,548,42012301
32,4,512,16,548,41951991
32,4,512,32,548,46789940
32,4,1024,2,1060,42399907
32,4,1024,4,1060,42197395
32,4,1024,8,1060,42046871
32,4,1024,16,1060,41973020
32,4,1024,32,1060,46799958
32,8,128,2,168,42393468
32,8,128,4,168,42191878
32,8,128,8,168,42029883
32,8,128,16,168,41964864
32,8,128,32,168,42128576
32,8,256,2,296,42381524
32,8,256,4,296,42175825
32,8,256,8,296,42020020
32,8,256,16,296,41953766
32,8,256,32,296,42104367
32,8,512,2,552,42371944
32,8,512,4,552,42165588
32,8,512,8,552,42000153
32,8,512,16,552,41945788
32,8,512,32,552,42092003
32,8,1024,2,1064,42399692
32,8,1024,4,1064,42192908
32,8,1024,8,1064,42054657
32,8,1024,16,1064,41970949
32,8,1024,32,1064,42117561
32,16,128,2,176,42385030
32,16,128,4,176,42182319
32,16,128,8,176,42024029
32,16,128,16,176,41957233
32,16,128,32,176,42126069
32,16,256,2,304,42374223
32,16,256,4,304,42172851
32,16,256,8,304,42000910
32,16,256,16,304,41945979
32,16,256,32,304,42102944
32,16,512,2,560,42343362
32,16,512,4,560,42153793
32,16,512,8,560,41988993
32,16,512,16,560,41936624
32,16,512,32,560,42085053
32,16,1024,2,1072,42389796
32,16,1024,4,1072,42184026
32,16,1024,8,1072,42037745
32,16,1024,16,1072,41957828
32,16,1024,32,1072,42101718
32,32,128,2,192,42383027
32,32,128,4,192,42179567
32,32,128,8,192,42009556
32,32,128,16,192,41954417
32,32,128,32,192,42109560
32,32,256,2,320,42370791
32,32,256,4,320,42166564
32,32,256,8,320,42007468
32,32,256,16,320,41942976
32,32,256,32,320,42102553
32,32,512,2,576,42357850
32,32,512,4,576,42152331
